Date,market_ret,breadth,flag_rate,n_tickers,mkt_ret_mean,mkt_ret_std,mkt_ret_z,market_anomaly_flag
2018-06-11,0.00408373416997491,0.5555555555555556,0.0,9,,,,0
2018-06-12,0.008572323007358737,1.0,0.1111111111111111,9,,,,0
2018-06-13,0.004510479697214804,0.4444444444444444,0.1111111111111111,9,,,,0
2018-06-14,0.015485422157183749,1.0,0.0,9,,,,0
2018-06-15,-0.005190600694452627,0.1111111111111111,0.3333333333333333,9,,,,1
2018-06-18,0.0031210907346112104,0.4444444444444444,0.1111111111111111,9,,,,0
2018-06-19,-0.005856199288046778,0.2222222222222222,0.0,9,,,,1
2018-06-20,0.012179720571294251,1.0,0.0,9,,,,0
2018-06-21,-0.014721388592088713,0.0,0.1111111111111111,9,,,,1
2018-06-22,-0.009924154319831735,0.1111111111111111,0.0,9,,,,1
2018-06-25,-0.029068977649017454,0.0,0.4444444444444444,9,,,,1
2018-06-26,0.010191817470953966,0.7777777777777778,0.0,9,,,,0
2018-06-27,-0.013554298965398134,0.1111111111111111,0.0,9,,,,1
2018-06-28,0.013446594493068596,1.0,0.0,9,,,,0
2018-06-29,-0.003954136278016601,0.3333333333333333,0.0,9,,,,0
2018-07-02,0.008712370302921355,0.8888888888888888,0.2222222222222222,9,,,,0
2018-07-03,-0.022343922961801432,0.0,0.1111111111111111,9,,,,1
2018-07-05,0.013207256183224998,0.8888888888888888,0.0,9,0.0017565824437992253,0.012854204725786742,0.8908115269437591,0
2018-07-06,0.013002691401319167,0.8888888888888888,0.0,9,0.0017644764722845683,0.012861190705421344,0.8738082799983196,0
2018-07-09,0.014614677236022722,1.0,0.0,9,0.0023766460571777964,0.012450726721162729,0.9829170178511523,0
2018-07-10,0.0034089394071322105,0.6666666666666666,0.0,9,0.00256260719346873,0.01254578372164568,0.06745949335977106,0
2018-07-11,-0.005943005684983343,0.3333333333333333,0.0,9,0.002132785936442624,0.012026759395969294,-0.671485256795985,0
2018-07-12,0.013652774622485831,0.7777777777777778,0.0,9,0.002114425428202434,0.012038370031666667,0.9584644070527841,0
2018-07-13,-0.0022221221080578582,0.6666666666666666,0.0,9,0.0020985912201556788,0.012022260735002016,-0.3593927484565416,0
